table_id rows cols nulls inlinks outlinks views table_imp table_fraction
table-0108-202 1 2 0 16 20 37833 0.25 0.023224950232249502
table-0108-691 4 4 0 347 410 9235 0.125 0.21281840591618734
table-0108-139 9 3 0 4 298 534 1.0 0.32051282051282054
table-0108-736 12 4 12 167 427 1641 1.0 3.151750972762646
table-0108-176 20 4 0 132 88 317791 0.14285714285714285 0.657196261682243
table-0108-431 1 4 1 160 428 18814 0.07142857142857142 0.006939555466157096
table-0108-203 0 1 0 16 20 37833 0.25 0.0
table-0108-649 9 2 0 10 214 357 1.0 0.19116465863453816
table-0108-655 42 5 78 108 99 2598 1.0 2.6025039123630673
table-0108-497 7 4 7 166 285 1259 1.0 2.6467391304347827
table-0108-240 2 2 0 34 50 6882 0.3333333333333333 0.25
table-0108-446 17 7 12 33 183 973 1.0 8.290748898678414
table-0108-2 91 5 144 330 272 43003 0.3333333333333333 2.047418335089568
table-0108-420 10 2 0 32 56 3336 0.3333333333333333 0.7698334965719883
table-0108-354 132 4 132 166 287 979 1.0 59.392638036809814
table-0108-946 1 5 0 143 215 2855 0.5 0.025729836714497772
table-0108-35 1 5 0 128 214 2741 0.5 0.03695532266960838
table-0108-695 9 4 2 85 80 2520 0.5 2.955922865013774
table-0108-920 2 3 0 245 257 13987 0.3333333333333333 0.033787191124558746
table-0108-19 3 2 0 18 17 12977 1.0 0.2222222222222222
table-0108-879 1 3 0 36 43 1841 0.2 0.06575682382133995
table-0108-103 10 4 0 65 75 14281 0.125 0.06524564595788926
table-0108-763 40 4 40 171 662 2881 1.0 13.52073732718894
table-0108-645 50 5 49 48 316 5344 0.1 1.491778774289985
table-0108-837 1 13 0 255 113 6862 0.2 0.11797752808988764
table-0108-435 16 17 16 157 239 1073 0.5 0.2951146560319043
table-0108-583 6 4 0 250 497 4561 0.2 0.34827144686299616
table-0108-283 4 5 2 15 22 706 0.5 1.106100795755968
table-0108-55 1 4 0 125 234 2856 0.5 0.035443037974683546
table-0108-125 0 1 0 7 13 670 1.0 0.0
table-0108-875 1 15 0 33 45 2985 0.5 0.28549019607843135
table-0108-369 7 5 6 35 40 2158 1.0 0.6985611510791367
table-0108-641 16 5 14 48 316 5344 0.1 0.44005979073243645
table-0108-338 3 4 0 332 273 239900 0.3333333333333333 0.009213879631444814
table-0108-259 11 3 0 1162 621 319695 0.5 0.007656903765690376
table-0108-696 1 2 0 30 57 4749 1.0 0.01499348109517601
table-0108-933 2 4 0 1178 344 30621 0.1 0.10490626246509772
table-0108-732 3 4 3 167 427 1641 1.0 0.8093385214007782
table-0108-417 19 3 0 1012 1029 497049 0.2 0.007518329812352429
table-0108-650 4 2 1 45 88 18539 0.5 0.20588235294117646
table-0108-228 2 2 0 41 52 7428 0.3333333333333333 0.16391852570320078
table-0108-197 3 2 2 10 36 1674 0.5 0.07681564245810056
table-0108-652 0 1 0 621 797 489 1.0 0.0
table-0108-377 4 4 7 129 107 940 0.2 0.13577586206896552
table-0108-207 3 2 0 83 109 10783 0.3333333333333333 0.09160649819494585
table-0108-169 1 5 0 140 222 2825 0.5 0.0468564650059312
table-0108-972 1 3 0 294 534 12969 0.1111111111111111 0.016098926738217452
table-0108-745 165 4 165 167 526 1457 1.0 63.89325842696629
table-0108-637 1 5 0 131 188 2943 0.5 0.0479951397326853
table-0108-83 1 3 0 23 56 2010 1.0 0.0859704641350211
table-0109-1000 1 14 0 28 31 2187 0.5 0.5917667238421955
table-0108-148 1 3 2 118 160 5285 1.0 0.007130730050933786
table-0108-866 4 3 0 276 447 6044 0.14285714285714285 0.1471091344509066
table-0108-700 7 1 0 49 87 2026 0.3333333333333333 0.37320574162679426
table-0108-168 2 4 2 140 222 2825 0.5 0.06820877817319099
table-0108-820 3 14 1 52 64 2898 0.5 0.614014933946008
table-0108-855 4 8 4 164 140 30662 0.3333333333333333 0.06762811537384486
table-0108-310 3 6 2 25 25 197 1.0 0.912621359223301
table-0108-368 1 2 1 65 72 1313 1.0 0.011610297829379102
table-0108-26 6 6 0 98 134 22200 0.25 0.01951066005821729
table-0108-351 37 4 37 172 472 1683 1.0 12.134529147982063
table-0108-797 0 1 0 185 268 3049 0.14285714285714285 0.0
table-0108-963 8 22 67 5 5 549 1.0 13.237864077669903
table-0108-978 4 5 0 147 196 6761 0.5 0.21642429426860565
table-0108-235 0 1 0 53 52 33911 0.25 0.0
table-0108-970 1 21 0 294 534 12969 0.1111111111111111 0.12645823611759216
table-0108-613 10 7 8 309 283 23379 0.25 0.023300351101180977
table-0108-984 1 21 0 399 338 8094 0.25 0.2608695652173913
table-0108-84 5 15 19 54 68 2878 0.5 1.8674698795180722
table-0108-725 1 4 1 167 427 1641 1.0 0.21011673151750973
table-0108-586 28 11 14 250 497 4561 0.2 1.8079385403329065
table-0108-968 18 10 102 86 117 1379 0.3333333333333333 2.152097902097902
table-0108-8 0 1 0 70 84 6909 0.3333333333333333 0.0
table-0108-902 2 18 12 199 275 9399 0.1111111111111111 0.0430943129636171
table-0108-397 4 3 0 717 520 0 0.3333333333333333 0.023143683702989394
table-0108-159 30 4 0 241 402 1137 1.0 1.8878504672897196
table-0108-265 49 8 0 89 210 1218 0.25 14.203252032520325
table-0108-857 2 16 0 58 112 2466 0.3333333333333333 1.3899821109123434
table-0108-136 5 3 0 4 298 534 1.0 0.2326007326007326
table-0108-628 18 11 0 80 45 2168 0.3333333333333333 1.8392721758908264
table-0108-496 88 4 88 166 285 1259 1.0 35.04347826086956
table-0108-728 1 4 1 167 427 1641 1.0 0.2723735408560311
table-0108-959 17 4 5 67 72 246126 0.2 0.6384217335058214
table-0108-434 16 12 19 157 239 1073 0.5 0.33848454636091724
table-0108-601 59 7 107 125 325 1567 0.3333333333333333 28.514150943396228
table-0108-668 1 1 0 7 10 5233 1.0 0.13316790736145576
table-0108-329 3 5 0 11 27 709 0.5 1.0438144329896908
table-0108-7 1 2 0 70 84 6909 0.3333333333333333 0.029635901778154106
table-0108-807 3 22 18 55 216 3544 0.1111111111111111 0.9038189533239038
table-0108-438 10 9 0 35 455 5297 1.0 0.4263565891472868
table-0108-188 0 1 0 62 71 3165 0.3333333333333333 0.0
table-0108-173 14 5 0 176 132 24804 0.25 2.7133243606998656
table-0108-28 2 2 2 84 96 100374 0.5 0.01609657947686117
table-0108-189 5 6 0 10 21 617 0.5 1.0884615384615384
table-0108-579 1 2 0 9 27 1558 0.25 0.04088785046728972
table-0108-256 73 19 751 30 6 747 1.0 8.738805970149254
table-0108-481 1 5 0 86 523 15034 0.16666666666666666 0.020876826722338204
table-0108-783 2 15 1 28 46 2040 0.5 1.7757731958762886
table-0108-758 2 15 0 662 745 40736 0.1111111111111111 0.09168296330380767
table-0108-339 20 6 0 332 273 239900 0.3333333333333333 0.1828072926877083
table-0108-719 8 20 51 35 66 2441 0.3333333333333333 2.697928026172301
table-0108-577 27 13 1 250 492 4752 0.2 0.7801822323462415
table-0108-720 1 22 0 35 66 2441 0.3333333333333333 0.6368593238822247
table-0108-658 1 1 0 7 10 5233 1.0 0.11745244003308519
table-0108-733 25 4 25 167 427 1641 1.0 7.832684824902723
table-0108-831 19 2 0 177 246 16310 0.3333333333333333 0.26781970649895176
table-0108-13 1 5 2 7 18 605 1.0 0.19438877755511022
table-0108-872 3 23 5 109 151 5254 0.16666666666666666 0.6993243243243243
table-0108-747 14 7 0 204 265 2823 0.16666666666666666 0.8005115089514067
table-0108-960 1 13 0 23 47 2194 0.5 0.13041733547351525
table-0108-156 30 4 0 241 402 1137 1.0 1.5809968847352025
table-0108-629 10 3 0 80 72 2323 0.25 0.049723756906077346
table-0108-505 8 4 8 166 321 1473 1.0 2.639810426540284
table-0108-288 11 3 0 83 48 1296 0.1111111111111111 0.056842105263157895
table-0108-738 2 4 2 167 427 1641 1.0 0.5525291828793775
table-0108-85 3 17 13 14 5 998 1.0 3.66260162601626
table-0108-315 1 2 1 7 20 1439 1.0 0.017335766423357664
table-0108-11 1 1 0 128 139 8764 1.0 0.008465608465608466
table-0108-854 2 16 1 22 4 13373 1.0 3.195744680851064
table-0108-582 21 14 0 250 497 4561 0.2 0.49167733674775926
table-0108-716 2 14 1 22 43 1662 0.5 1.2916666666666667
table-0108-669 1 1 0 7 10 5233 1.0 0.12076095947063689
table-0108-638 1 4 0 131 188 2943 0.5 0.043134872417982986
table-0108-826 0 1 0 89 73 18854 0.3333333333333333 0.0
table-0108-52 1 5 0 125 234 2856 0.5 0.03333333333333333
table-0108-487 1 4 1 172 545 2051 1.0 0.3804878048780488
table-0108-506 23 4 23 166 321 1473 1.0 7.464454976303317
table-0108-895 1 5 1 120 166 4745 0.125 0.0030778701138811943
table-0108-6 2 2 0 70 84 6909 0.3333333333333333 0.14309906858594412
table-0108-238 1 2 0 65 89 14235 0.25 0.022595222724338282
table-0108-305 12 2 0 5115 667 111250 0.08333333333333333 0.005059546975947692
table-0108-251 24 4 7 0 0 0 0.0 1250.0
table-0108-165 3 5 0 140 222 2825 0.5 0.15243179122182682
table-0108-850 6 3 0 161 224 2502 0.5 0.4091666666666667
table-0108-25 6 2 0 98 134 22200 0.25 0.04098812052552907
table-0108-470 3 9 2 197 172 59522 0.5 0.11136964569011105
table-0108-304 2 3 0 5115 667 111250 0.08333333333333333 0.006849848213590722
table-0108-436 14 19 14 35 455 5297 1.0 2.143410852713178
table-0108-386 3 3 0 6 210 4498 1.0 0.10712654179990863
table-0108-587 28 11 16 250 497 4561 0.2 1.6525821596244132
table-0108-527 0 1 0 29 67 4049 1.0 0.0
table-0108-592 37 7 91 124 144 1231 0.3333333333333333 35.42982456140351
table-0108-482 4 3 0 40 66 7660 0.5 0.027002700270027002
table-0108-714 1 3 0 15 15 8229 1.0 0.3805147058823529
table-0108-423 4 4 6 138 108 3251 0.2 0.2043222003929273
table-0108-405 11 5 2 1044 1010 707955 1.0 0.011143462149285336
table-0108-511 6 4 6 166 321 1473 1.0 2.1516587677725116
table-0108-324 3 5 2 51 54 899 0.5 1.188118811881188
table-0108-146 2 3 0 4 298 534 1.0 0.07051282051282051
table-0108-900 1 3 0 241 284 3120 0.5 0.05284831846259437
table-0108-908 8 3 0 30 48 4645 1.0 0.4944382647385984
table-0108-415 35 7 31 1012 1029 497049 0.2 0.2115073940598981
table-0108-903 1 3 0 199 275 9399 0.1111111111111111 0.011391734369480749
table-0108-542 1 2 0 49 65 3568 0.3333333333333333 0.03333333333333333
table-0108-349 133 4 133 172 472 1683 1.0 45.869955156950674
table-0108-987 6 17 5 96 225 9788 0.16666666666666666 1.2093139709564347
table-0108-412 9 10 24 26 31 1621 0.3333333333333333 0.9141104294478528
table-0108-199 1 2 0 57 79 4580 0.3333333333333333 0.02562225475841874
table-0108-982 2 15 0 40 61 3105 0.5 0.7094736842105264
table-0108-690 9 4 0 347 410 9235 0.125 0.5234182415776499
