table_id rows cols nulls inlinks outlinks views table_imp table_fraction
table-0303-657 6 4 7 176 240 2617 0.16666666666666666 0.09265802905378877
table-0303-11 4 9 3 127 282 3843 0.25 0.0911854103343465
table-0303-993 3 10 1 93 80 656 0.05555555555555555 0.28289473684210525
table-0303-833 12 10 0 96 100 2316 0.16666666666666666 1.1703296703296704
table-0303-731 3 4 2 331 122 630484 1.0 0.013530305122186939
table-0303-140 1 3 0 15 22 212 1.0 0.17597765363128492
table-0303-539 3 2 0 223 140 8473 0.5 0.1553398058252427
table-0303-587 2 5 1 36 29 869 1.0 0.1736111111111111
table-0303-589 22 8 8 127 153 2213 0.16666666666666666 3.0183673469387755
table-0303-218 32 1 0 64 201 1935 0.043478260869565216 0.6157232704402515
table-0303-107 10 9 10 86 325 2336 0.045454545454545456 0.03560935480079915
table-0303-930 1 21 0 366 404 101010 0.16666666666666666 0.07629332868838182
table-0303-337 1 2 0 134 47 22746 1.0 0.12351543942992874
table-0303-629 13 3 0 126 117 3726 0.125 0.370913190529876
table-0303-53 1 3 0 54 69 1222 1.0 0.15186615186615188
table-0303-868 2 5 0 543 703 25092 0.5 0.007316941948673804
table-0303-130 3 9 3 85 122 841 1.0 0.030452674897119343
table-0303-946 4 4 0 17 125 14904 1.0 0.0969176052163604
table-0303-729 1 2 1 36 57 3285 1.0 0.017608897126969416
table-0303-748 4 14 0 31 25 3314 0.5 0.11008751727314602
table-0303-964 50 3 0 14 28 9588 0.3333333333333333 31.023766654663305
table-0303-799 9 6 0 168 148 1643 0.25 1.6056603773584905
table-0303-987 36 6 21 112 155 2124 0.16666666666666666 3.98828125
table-0303-215 16 10 0 64 201 1931 0.043478260869565216 0.6930817610062893
table-0303-692 4 9 0 192 251 8074 0.045454545454545456 0.1002710027100271
table-0303-307 1 1 0 425 472 2823 1.0 0.02771855010660981
table-0303-552 1 3 0 48 57 8617 0.25 0.039376893119861534
table-0303-475 1 2 1 53 71 3366 1.0 0.006017489254483474
table-0303-801 1 6 0 124 144 1245 0.5 0.21308724832214765
