table_id rows cols nulls inlinks outlinks views table_imp table_fraction
table-0401-987 17 5 0 228 233 7191 0.1 0.6802721088435374
table-0401-771 2 6 0 102 178 7017 0.3333333333333333 0.17761100687929957
table-0401-984 2 8 0 228 233 7191 0.1 0.12492269635126778
table-0401-670 6 10 0 134 301 2111 0.07142857142857142 0.3963302752293578
table-0401-192 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-286 12 10 5 200 221 6633 0.5 0.5702336313815979
table-0401-296 54 5 0 93 133 14120 0.5 24.952896430661205
table-0401-515 16 3 15 33 102 717 0.1 0.5028571428571429
table-0401-492 81 6 83 387 571 3844 1.0 7.873873873873874
table-0401-45 7 5 0 252 308 1326 0.5 0.5219123505976095
table-0401-273 1 2 0 12 36 16100 0.5 0.018617021276595744
table-0401-84 10 4 4 101 106 111934 0.3333333333333333 0.22375057313159102
table-0401-705 1 3 0 1042 392 4904606 0.16666666666666666 0.010219910575782462
table-0401-945 0 1 0 132 237 30768 1.0 0.0
table-0401-301 182 3 0 62 643 26295 0.5 25.69221967963387
table-0401-756 4 10 0 6843 660 706037 0.5 0.05770340450086555
table-0401-511 4 8 2 33 102 717 0.1 0.26857142857142857
table-0401-2 7 4 0 244 315 3327 0.05 0.03648504790477112
table-0401-913 2 2 0 98 148 1155 0.25 0.09406657018813314
table-0401-164 3 1 0 111 168 1684 0.14285714285714285 0.10652173913043478
table-0401-188 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-87 2 5 4 103 189 1199 1.0 0.14931437277805992
table-0401-401 0 1 0 5 26 1198 1.0 0.0
table-0401-337 1 2 0 0 0 0 0.0 33.0
table-0401-486 5 3 0 1672 373 234532 0.16666666666666666 0.008170884720139548
table-0401-836 0 1 0 48 82 14522 1.0 0.0
table-0401-539 10 7 0 170 241 1095 0.2 0.733502538071066
table-0401-458 2 3 0 18255 1286 1582516 0.16666666666666666 0.0035071783614664545
table-0401-372 3 2 0 22 28 174 1.0 0.0726643598615917
table-0401-291 6 4 0 359 228 17560 0.25 0.13771377137713772
table-0401-150 6 5 0 221 171 66074 0.1 0.028093369138607726
table-0401-268 2 4 2 61 89 2776 1.0 0.0504266873545384
table-0401-32 5 4 0 33 52 1698 1.0 0.2052980132450331
table-0401-37 1 3 0 14 29 1529 1.0 0.10204081632653061
table-0401-105 14 3 2 122 127 8102 1.0 0.18522727272727274
table-0401-777 1 2 1 55 78 3780 1.0 0.0203862660944206
table-0401-803 22 5 0 573 786 7075 0.1111111111111111 0.7167808219178082
table-0401-834 2 2 0 14 53 0 0.3333333333333333 0.023656776263031275
table-0401-227 4 8 4 7 57 503 0.16666666666666666 0.08873720136518772
table-0401-958 3 2 0 18 45 64 1.0 0.11697769685935366
table-0401-752 4 9 0 45 311 1591 0.16666666666666666 0.13549752999294284
table-0401-594 28 3 0 341 461 2411 0.1 0.3169672678690715
table-0401-349 2 2 0 236 260 48185 0.1111111111111111 0.003125637018414079
table-0401-917 6 7 12 245 399 349 1.0 0.32892249527410206
table-0401-159 6 3 1 250 153 21041 0.2 0.0425531914893617
table-0401-650 2 5 0 582 715 29519 0.5 0.011325206449075895
table-0401-618 21 11 2 164 339 139 1.0 1.167013167013167
table-0401-103 2 17 7 121 82 9324 0.3333333333333333 0.34375
table-0401-9 6 2 0 136 155 3837 0.25 0.6509758897818599
table-0401-138 0 1 0 76 50 402679 0.5 0.0
table-0401-119 17 4 0 126 187 1166 0.16666666666666666 2.0283505154639174
table-0401-703 21 4 17 1042 392 4904606 0.16666666666666666 0.09079295556163884
table-0401-564 0 1 0 6 51 1583 0.25 0.0
table-0401-338 2 5 2 21 259 7877 0.14285714285714285 0.5839080459770115
table-0401-359 27 8 0 368 142 4589 0.14285714285714285 0.8565057712486883
table-0401-493 27 7 30 387 571 3844 1.0 2.8265765765765765
table-0401-365 56 5 0 574 783 8426 0.1111111111111111 1.5928687196110212
table-0401-799 12 2 0 573 786 7075 0.1111111111111111 0.15821917808219177
table-0401-277 10 2 0 7 12 1412 0.5 0.5594202898550724
table-0401-711 5 3 5 112 154 4412 0.5 0.18556701030927836
table-0401-199 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-204 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-574 3 3 0 29 43 1105 1.0 0.11429794520547945
table-0401-438 24 4 0 177 294 3102 0.16666666666666666 0.8434118395926161
table-0401-133 28 4 2 16 34 3008 0.5 1.8641390205371249
table-0401-841 5 4 0 12 132 530 0.25 0.6729559748427673
table-0401-186 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-514 4 8 4 33 102 717 0.1 0.10285714285714286
table-0401-896 4 10 4 93 28 7695 1.0 0.42961165048543687
table-0401-894 1 1 0 156 223 1103 1.0 0.012062440870387891
table-0401-680 9 7 18 0 0 0 0.0 644.0
table-0401-408 6 8 0 105 109 7990 0.3333333333333333 0.027139227957122498
table-0401-178 2 4 0 21 39 1530 1.0 0.08771008403361344
table-0401-303 3 3 0 10 22 1761 1.0 0.2545454545454545
table-0401-324 9 2 0 218 240 5046 0.047619047619047616 0.17487046632124353
table-0401-789 5 2 0 72 116 6878 0.2 0.2781954887218045
table-0401-98 15 4 15 333 134 14648 0.2 0.1698698078115313
table-0401-575 1 3 0 5 4 313 1.0 0.6495327102803738
table-0401-35 4 4 0 33 52 1698 1.0 0.10816777041942605
table-0401-480 9 7 0 1587 369 251859 0.3333333333333333 0.028309203722854188
table-0401-951 1 3 0 13 45 989 1.0 0.019684424308701765
table-0401-612 22 14 0 47 100 47249 0.14285714285714285 6.08
table-0401-276 1 2 1 52 80 5469 1.0 0.007421875
table-0401-935 8 2 0 107 153 1690 0.14285714285714285 0.20950704225352113
table-0401-321 8 2 0 0 0 0 0.0 535.0
table-0401-882 3 3 0 517 129 44628 1.0 0.04814487632508834
table-0401-271 4 1 0 330 166 37967 0.1 0.027777777777777776
table-0401-182 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-209 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-116 2 2 0 126 187 1166 0.16666666666666666 0.22422680412371135
table-0401-651 2 3 0 130 160 3456 1.0 0.14932992980216975
table-0401-85 34 4 0 101 106 111934 0.3333333333333333 1.2058688674919762
table-0401-543 0 1 0 16 13 1938 1.0 0.0
table-0401-546 12 4 12 110 219 19238 0.5 0.046089385474860335
table-0401-466 8 2 0 111 170 1417 0.16666666666666666 0.20411663807890223
table-0401-330 4 3 0 1416 923 998639 0.16666666666666666 0.007280981647643317
table-0401-681 6 4 0 27 46 717 0.3333333333333333 0.36685082872928176
table-0401-282 1 2 1 44 77 3284 1.0 0.08482142857142858
table-0401-318 5 7 5 80 86 3930 0.5 0.16654492330168005
table-0401-537 30 6 4 170 241 1095 0.2 2.011421319796954
table-0401-955 1 1 1 45 102 1945 0.07692307692307693 0.0
table-0401-432 3 1 0 107 157 1546 0.14285714285714285 0.10294117647058823
table-0401-622 14 4 3 81 89 253992 0.25 0.1968476357267951
table-0401-212 76 5 0 21 27 7493 1.0 8.678492239467849
table-0401-820 1 5 0 196 263 604 1.0 0.007713989022400237
table-0401-941 3 1 0 103 149 1677 0.14285714285714285 0.10272536687631027
table-0401-7 2 2 0 136 155 3837 0.25 0.182548794489093
table-0401-23 4 10 4 98 29 8723 1.0 0.5136690647482014
table-0401-68 20 2 0 117 161 18469 0.5 0.05658536585365854
table-0401-819 0 1 0 5 29 1192 1.0 0.0
table-0401-699 6 8 6 26 52 10064 0.16666666666666666 0.7403628117913832
table-0401-100 2 3 0 59 92 4947 1.0 0.38125
table-0401-974 2 5 0 235 226 13014 0.1111111111111111 0.039897340177321515
table-0401-548 4 4 4 110 219 19238 0.5 0.013168395849960097
table-0401-95 9 4 0 51 63 11086 0.5 0.21081307627829002
table-0401-440 54 4 0 109 225 547 0.5 2.044189852700491
table-0401-761 15 9 0 105 242 4933 0.1 6.2492917847025495
table-0401-883 8 3 0 9 14 3180 0.5 6.203947368421052
table-0401-346 6 3 0 524 347 93116 1.0 0.018266687412478607
table-0401-250 1 2 0 61 97 9570 0.25 0.016183986371379896
table-0401-973 10 10 0 235 226 13014 0.1111111111111111 0.23775081661222586
table-0401-744 1 3 0 48 89 2196 1.0 0.017763157894736842
table-0401-333 7 3 0 46 44 5501 1.0 0.3185397279885469
table-0401-977 10 5 0 235 226 13014 0.1111111111111111 0.1658889407372842
table-0401-517 2 2 0 93 132 12048 0.5 0.035202086049543675
table-0401-791 3 5 3 27 36 7069 0.3333333333333333 0.11428571428571428
table-0401-536 51 4 0 108 213 577 0.5 2.8667894413750767
table-0401-269 4 3 0 15 22 1920 0.5 0.13685636856368563
table-0401-795 1 4 0 171 176 639 0.3333333333333333 0.21301775147928995
table-0401-568 1 2 0 47 78 3342 0.5 0.011039794608472401
table-0401-197 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-956 6 1 0 45 102 1945 0.07692307692307693 0.015866558177379985
table-0401-17 48 5 0 293 584 20098 0.16666666666666666 9.928327645051194
table-0401-357 5 1 0 368 142 4589 0.14285714285714285 0.02833158447009444
table-0401-160 19 5 0 27 153 73 1.0 2.2904458598726114
table-0401-721 0 1 0 255 203 11710 1.0 0.0
table-0401-559 2 2 1 6 51 1583 0.25 0.051633298208640675
table-0401-418 8 4 2 37 33 1212 0.3333333333333333 1.6761904761904762
table-0401-862 4 6 7 109 108 1995 0.25 0.17194570135746606
table-0401-532 3 2 0 87 138 3597 0.5 0.09062821833161688
table-0401-923 7 7 13 245 399 349 1.0 0.3846880907372401
table-0401-638 6 8 6 180 292 3688 0.09090909090909091 0.028091937249179133
table-0401-167 4 4 0 11 32 805 0.5 0.10309278350515463
table-0401-16 50 5 0 293 584 20098 0.16666666666666666 8.793515358361775
table-0401-571 44 8 0 57 72 40254 1.0 23.650306748466257
table-0401-12 0 1 0 14 166 2971 1.0 0.0
table-0401-633 3 3 0 180 292 3688 0.09090909090909091 0.04742794600510763
table-0401-848 1 2 1 88 119 6736 0.3333333333333333 0.012077294685990338
table-0401-856 16 8 0 602 268 5573 1.0 0.060207100591715974
table-0401-134 23 4 0 170 369 25988 0.2 0.09624340266997827
table-0401-206 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-712 40 6 0 6 17 912 0.5 1.4403183023872679
table-0401-403 7 4 0 15 132 402 0.3333333333333333 0.9024725274725275
table-0401-387 6 3 0 1470 560 63747 0.05555555555555555 0.011271931257555462
table-0401-786 4 4 0 13 96 385 0.3333333333333333 0.7530017152658662
table-0401-213 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-687 75 4 1 370 318 697259 0.25 1.6323483670295489
table-0401-720 4 6 0 372 307 16279 1.0 0.05085922582884916
table-0401-76 7 3 0 86 158 217502 0.1111111111111111 0.017782717421505972
table-0401-609 6 13 2 47 100 47249 0.14285714285714285 3.2725
table-0402-1000 11 5 0 226 220 6199 1.0 0.25207986688851913
table-0401-278 1 2 1 61 77 4860 1.0 0.007468553459119497
table-0401-218 1 1 0 21 27 7493 1.0 0.038433111603843315
table-0401-905 25 4 3 81 273 4775 0.3333333333333333 7.206463195691203
table-0401-428 1 3 0 250 399 177 1.0 0.06670567583382095
table-0401-953 0 0 0 45 102 1945 0.07692307692307693 0.0
table-0401-36 2 4 0 33 52 1698 1.0 0.05518763796909492
