table_id rows cols nulls inlinks outlinks views table_imp table_fraction
table-0110-330 82 4 0 208 216 158998 1.0 0.25725396350583307
table-0110-203 20 4 0 105 165 975 0.125 2.8474820143884894
table-0110-588 2 4 0 91 141 1161 0.25 0.41324503311258276
table-0110-290 5 2 0 540 687 14318 0.1 0.07228915662650602
table-0110-62 0 1 0 619 683 116025 1.0 0.0
table-0110-49 3 2 0 90 115 7174 0.3333333333333333 0.12362971985383678
table-0110-684 1 3 0 18 28 921 1.0 0.10437452033768227
table-0110-749 1 4 0 25 62 8213 0.16666666666666666 0.006009389671361502
table-0110-795 2 2 0 71 80 5310 0.3333333333333333 0.11785216178521618
table-0110-615 203 4 0 354 329 8464 0.5 41.289308176100626
table-0110-928 2 2 0 55 71 15655 0.5 0.03787878787878788
table-0110-982 3 3 0 20 38 819 1.0 0.5508982035928144
table-0110-389 7 3 0 248 1355 10221 0.5 0.744578313253012
table-0110-977 11 4 0 98 80 20204 0.25 0.08051072885263344
table-0110-417 8 5 0 277 117 220817 0.5 0.11047650130548303
table-0110-955 43 3 0 62 80 2952 0.5 0.3680555555555556
table-0110-699 105 4 105 179 696 1797 1.0 38.03365384615385
table-0110-944 3 2 0 53 66 7266 0.5 0.048405466970387244
table-0110-80 5 2 0 831 709 76250 1.0 0.011037037037037036
table-0110-637 22 3 0 11 470 1199 1.0 0.18877248468076696
table-0110-839 0 1 0 135 157 12347 0.2 0.0
table-0110-183 6 5 0 1608 735 134 1.0 0.014046605157321979
table-0110-777 20 6 0 42 76 97639 1.0 1.3353941267387945
table-0110-342 8 3 0 248 1355 10221 0.5 0.7024096385542169
table-0110-967 6 2 0 718 296 37766 0.1111111111111111 0.010890912337082663
table-0110-704 109 4 109 170 598 1449 1.0 28.137809187279153
table-0110-646 2 3 0 11 470 1199 1.0 0.017592409567108124
table-0110-743 2 3 0 25 62 8213 0.16666666666666666 0.0092018779342723
table-0110-620 2 3 0 11 470 1199 1.0 0.024510772880015814
table-0110-50 1 2 0 90 115 7174 0.3333333333333333 0.021315468940316686
table-0110-807 4 3 0 33 88 139 1.0 0.31563762261973455
table-0110-52 4 2 0 128 141 9462 0.3333333333333333 0.23677248677248677
table-0110-816 150 5 0 106 407 1389 0.5 11.789017341040463
table-0110-341 5 3 0 248 1355 10221 0.5 0.5180722891566265
table-0110-504 1 3 0 46 48 1341 1.0 0.10957960027567196
table-0110-346 8 3 0 248 1355 10221 0.5 0.7819277108433735
table-0110-432 2 2 0 114 136 26880 0.3333333333333333 0.02540106951871658
table-0110-402 11 3 0 248 1355 10221 0.5 1.1614457831325302
table-0110-633 20 3 0 11 470 1199 1.0 0.13777426368847598
table-0110-179 1 3 0 244 396 13669 1.0 0.009826452175291227
table-0110-309 2 4 0 106 17 0 0.5 0.030721966205837174
table-0110-978 1 4 0 98 80 20204 0.25 0.01489625820180883
table-0110-29 3 2 0 74 98 7600 0.3333333333333333 0.09639126305792972
table-0110-106 19 5 23 26 23 1125 0.5 1.896135265700483
table-0110-444 8 4 0 521 544 12381 0.1111111111111111 0.45164075993091535
table-0110-596 10 2 0 305 264 172925 0.2 0.010777084515031198
table-0110-538 1 2 0 82 109 19687 0.3333333333333333 0.017275559331634098
table-0110-72 10 2 7 118 149 64782 0.3333333333333333 0.06340425531914894
table-0110-440 10 4 0 521 544 12381 0.1111111111111111 0.6433506044905009
table-0110-697 122 4 122 179 696 1797 1.0 41.50961538461539
table-0110-166 3 3 1 184 226 6330 1.0 0.007892204042348411
table-0110-300 6 9 6 89 148 108115 0.1 0.04399472063352398
table-0110-499 5 4 16 63 170 952 0.14285714285714285 0.09391471011020604
table-0110-235 27 4 0 12084 957 875021 0.08333333333333333 0.37328222866224176
table-0110-782 16 6 0 42 76 97639 1.0 1.0793405461102525
table-0110-487 10 3 0 423 313 51998 0.3333333333333333 0.029318455311235093
table-0110-36 2 2 0 115 112 20539 0.3333333333333333 0.08526740665993945
table-0110-447 10 8 2 521 544 12381 0.1111111111111111 1.2271157167530224
table-0110-753 1 1 0 169 154 14180 1.0 0.0014966859097712208
table-0110-366 6 3 0 248 1355 10221 0.5 0.5698795180722892
table-0110-197 8 4 8 301 233 8823 0.2 0.17263364394310937
table-0110-96 16 5 0 185 295 10294 0.3333333333333333 0.20762868781631896
table-0110-694 77 4 77 172 537 1309 1.0 24.837962962962962
table-0110-436 1 2 0 99 110 4915 0.3333333333333333 0.0236275191104934
table-0110-641 22 3 14 11 470 1199 1.0 0.2668511563550109
table-0110-130 5 7 9 247 433 594 1.0 0.324435318275154
table-0110-492 2 2 0 24 60 2093 0.5 0.027092600080873434
table-0110-81 6 4 0 18 22 19007 0.5 0.12173179645768907
table-0110-897 1 2 0 117 118 16889 0.2 0.02256608639587363
